Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jake Bates,110,7053,747,85,77.3,24,31.1,2,0,0,0
Tyler Bass,103,6567,770,75,72.8,25,30.8,1,0,2,1
Wil Lutz,95,6032,604,70,73.7,22,27.4,2,0,2,0
Justin Tucker,95,6069,716,68,71.6,26,27.5,1,0,0,0
Cameron Dicker,94,5983,743,65,69.2,26,28.6,1,0,2,0
Chris Boswell,90,5743,1157,49,54.4,40,28.9,0,0,1,0
Brandon Aubrey,88,5383,1058,43,48.9,39,27.1,3,1,3,0
Ka'imi Fairbairn,88,5481,1126,42,47.7,43,26.2,2,0,3,0
Braden Mann,86,5512,780,57,66.3,27,28.9,0,0,2,0
Jason Myers,86,5524,1114,46,53.5,40,27.8,0,0,0,1
Jason Sanders,86,5455,429,66,76.7,17,25.2,2,0,1,0
Matt Gay,82,5280,452,68,82.9,13,34.8,1,0,0,1
Daniel Carlson,80,4861,595,51,63.8,24,24.8,5,0,1,0
Ethan Evans,79,5084,349,66,83.5,12,29.1,1,0,0,0
Blake Grupe,78,4975,1483,21,26.9,57,26,0,0,0,0
Cam Little,76,4860,274,65,85.5,10,27.4,1,0,0,0
Bradley Pinion,75,4828,436,57,76,17,25.6,0,0,1,0
Will Reichard,74,4767,271,62,83.8,10,27.1,0,0,2,0
Eddy Pineiro,72,4506,906,32,44.4,37,24.5,0,0,3,0
Cairo Santos,71,4463,853,38,53.5,31,27.5,2,1,0,0
Evan McPherson,70,4353,324,54,77.1,13,24.9,3,0,0,0
Joey Slye,70,4362,529,46,65.7,21,25.2,2,0,1,0
Jake Moody,68,4289,419,49,72.1,16,26.2,1,0,3,0
Chad Ryland,67,4374,377,54,80.6,13,29,0,0,0,0
Harrison Butker,62,4005,342,49,79,12,28.5,0,0,1,0
Dustin Hopkins,62,3911,700,36,58.1,25,28,1,0,0,1
Brandon McManus,61,3875,930,27,44.3,33,28.2,1,0,1,0
Austin Seibert,60,3675,1237,14,23.3,45,27.5,2,0,0,2
Nick Folk,58,3666,644,37,63.8,20,32.2,1,0,0,0
Trenton Gill,46,2954,212,38,82.6,7,30.3,0,0,1,0
Greg Joseph,38,2431,397,24,63.2,13,30.5,0,0,1,0
Brayden Narveson,38,2441,520,18,47.4,20,26,0,0,0,0
Anders Carlson,36,2280,548,13,36.1,22,24.9,0,0,1,0
Graham Gano,35,2240,312,24,68.6,11,28.4,0,0,0,0
Zane Gonzalez,33,2024,533,10,30.3,22,24.2,1,0,0,0
Greg Zuerlein,33,2119,111,28,84.8,5,22.2,0,0,0,0
Cade York,32,1971,188,21,65.6,8,23.5,1,0,2,0
Jack Browning,29,1856,260,19,65.5,10,26,0,0,0,0
Jake Camarda,24,1549,154,18,75,6,25.7,0,0,0,0
John Parker Romo,23,1488,128,19,82.6,4,32,0,0,0,0
Matthew Wright,21,1273,547,3,14.3,16,34.2,1,0,1,1
Matt Prater,20,1266,94,17,85,2,47,0,0,1,0
Spencer Shrader,18,1170,23,17,94.4,1,23,0,0,0,0
Younghoe Koo,15,969,302,5,33.3,10,30.2,0,0,0,0
Jake Elliott,11,714,48,9,81.8,2,24,0,0,0,0
Jordan Stout,10,663,79,8,80,2,39.5,0,0,0,0
Justin Reid,9,556,223,1,11.1,8,27.9,0,0,0,0
Joshua Karty,7,399,32,5,71.4,1,32,1,0,0,0
Chase McLaughlin,7,351,0,5,71.4,0,0,2,1,0,0
Riley Patterson,6,385,106,2,33.3,4,26.5,0,0,0,0
Jude McAtamney,5,325,35,4,80,1,35,0,0,0,0
Johnny Hekker,4,184,64,0,0,3,21.3,1,0,1,0
Thomas Morstead,4,253,77,1,25,3,25.7,0,0,0,0
Jamie Gillan,3,170,0,2,66.7,0,0,0,0,1,0
Mitch Wishnowsky,3,77,27,0,0,1,27,2,0,0,0
Jake Bailey,1,34,0,0,0,0,0,1,0,1,0
Logan Cooke,1,22,0,0,0,0,0,0,0,0,0
Matthew Hayball,1,3,0,0,0,0,0,1,0,0,0
Rigoberto Sanchez,1,10,0,0,0,0,0,1,0,0,0
Tory Taylor,1,16,0,0,0,0,0,1,0,0,0
Daniel Whelan,1,12,0,0,0,0,0,1,0,0,0
Ryan Wright,1,13,0,0,0,0,0,1,0,0,0
