Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Cameron Johnston,51.5,37.5,75,2,58,103,1,0,0,0,1,1,28,0,0
Jack Fox,51,46.2,2080,45,68,2295,22,1,5,4,14,21,135,0,0
AJ Cole,50.8,43.8,2850,67,71,3304,27,10,7,8,14,26,294,0,2
Ryan Stonehouse,50.6,39.7,2896,75,75,3691,22,3,7,7,9,47,655,1,2
Bryce Baringer,49.8,41.7,2920,70,75,3486,31,3,10,8,17,32,406,1,0
Rigoberto Sanchez,49.7,42.6,2897,68,65,3382,27,5,2,4,25,32,405,0,0
Blake Gillikin,49.7,44.3,1684,38,63,1887,19,2,6,1,13,16,183,0,0
Michael Dickson,49.4,43.3,3292,76,68,3756,31,7,7,9,22,31,284,0,0
Logan Cooke,49.4,44.8,3048,68,73,3359,34,17,1,3,19,28,251,0,0
Corey Bojorquez,49.3,41.8,3717,89,84,4387,36,14,11,7,17,40,530,1,0
Ryan Rehkow,49.1,42.9,2275,53,80,2603,25,2,4,5,16,26,228,0,0
Matt Araiza,48.8,41.8,2594,62,72,3027,25,0,7,9,21,25,253,0,0
Braden Mann,48.8,42.8,2314,55,70,2633,20,6,9,7,8,24,179,0,1
Bryan Anger,48.5,42,2604,62,62,3005,24,1,5,3,20,33,341,0,0
Tommy Townsend,48,44.6,3388,77,69,3649,39,7,14,7,23,25,121,0,1
Tory Taylor,47.7,41.6,3409,82,68,3911,34,5,9,4,23,41,422,0,0
Thomas Morstead,47.2,40.9,2576,63,75,2972,19,6,6,7,15,29,256,0,0
Jake Bailey,47.1,41.2,2309,57,64,2639,22,14,4,5,11,22,230,0,1
Matt Haack,47,39.5,829,21,66,988,9,2,0,1,9,9,139,1,0
Bradley Pinion,47,38.8,1824,47,65,2209,14,3,4,4,14,22,305,0,0
Tress Way,46.9,43.1,2155,50,74,2343,22,5,7,2,12,24,148,0,0
Sam Martin,46.7,40.9,2210,55,65,2523,25,5,8,5,13,23,213,0,1
Riley Dixon,46.7,42.2,3246,77,65,3597,33,8,11,5,24,29,251,0,0
J.K. Scott,46.7,41.9,3014,72,67,3362,28,9,7,4,24,28,268,0,0
Ryan Wright,46.5,41.3,2313,57,66,2604,27,8,5,5,10,28,191,0,1
Jordan Stout,46.4,41.2,2268,55,70,2551,22,7,5,6,16,21,163,0,0
Corliss Waitman,46.4,41.9,2724,65,71,3015,27,7,8,5,16,29,191,0,0
Daniel Whelan,46.1,40.2,2253,56,74,2582,22,6,8,5,17,20,229,1,0
Ethan Evans,46,41.7,2292,55,68,2530,30,11,10,2,10,22,198,0,0
Johnny Hekker,45.7,42.5,3100,74,65,3338,24,4,20,3,20,26,178,0,1
Jake Camarda,45.3,36.5,474,13,67,589,5,1,3,0,3,6,115,1,0
Mitch Wishnowsky,45.2,37.9,834,23,58,994,11,0,7,0,6,9,160,0,1
Pat O'Donnell,45.1,40,961,24,56,1082,8,2,3,1,8,10,101,0,0
Matthew Hayball,44,40.4,3030,75,64,3303,41,8,9,3,27,28,213,0,0
Jamie Gillan,43.7,40.6,2273,56,67,2448,27,7,5,2,25,17,135,0,0
Trenton Gill,43.3,38.9,1051,27,57,1169,9,2,6,1,8,10,98,0,0
Chris Boswell,43,43,43,1,43,43,0,0,0,0,0,1,0,0,0
Michael Palardy,43,39.1,508,13,54,559,1,1,1,1,5,5,31,0,0
Jack Browning,42.5,34.6,346,10,54,425,0,0,1,1,3,5,59,0,0
Ty Zentner,40.1,38.3,268,8,53,281,3,1,2,0,2,2,13,0,1
Chad Ryland,39,39,117,3,44,117,0,1,0,0,2,0,0,0,0
