Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,224,81,18,8,176,55.7,108,22.1,1071
Eagles,211,75,30,19,160,47.5,108,26,1031
Giants,216,87,21,12,177,50.7,129,25.6,1088
Bears,213,80,19,9,177,54.5,129,26.6,1071
Texans,220,79,26,17,172,52.8,107,23.9,1077
Broncos,236,88,30,16,203,51.6,82,19.3,1126
Chiefs,215,93,23,12,191,50.9,112,26.8,1057
Cowboys,205,75,25,17,175,50.1,141,29.2,1077
Steelers,204,72,22,15,193,50.5,108,26.2,1067
Raiders,221,88,13,10,194,52.4,102,22.5,1090
Chargers,224,80,29,18,170,46.3,108,25.4,1074
Colts,234,104,21,11,191,50.5,127,23.9,1150
Commanders,207,79,24,16,175,57,122,24.9,1064
Saints,224,92,27,14,194,53,133,27.2,1161
Buccaneers,210,80,30,19,212,50.7,94,24.2,1109
Titans,213,88,13,10,157,50,118,23.5,1039
Patriots,215,93,21,11,189,54.6,127,25,1103
Bengals,207,87,27,16,192,51.6,137,28.6,1114
Dolphins,209,75,20,10,190,52,97,24,1054
Panthers,223,112,15,9,205,56.9,179,30.2,1196
Jets,215,83,21,16,171,52.3,129,25.6,1111
Seahawks,224,83,20,10,193,52,107,23.7,1099
Falcons,212,96,26,14,200,49.5,131,28.6,1105
Lions,185,60,29,12,198,53.1,86,23.3,1051
Jaguars,225,97,24,14,219,56.3,137,26.8,1165
Bills,201,88,32,17,217,54.8,109,25.1,1077
Rams,204,83,17,9,202,57.1,117,24.5,1090
Vikings,219,78,35,13,218,52.5,83,21.2,1108
49ers,216,93,26,17,181,53.6,118,24.8,1061
Cardinals,208,91,24,14,200,54,124,26.7,1083
Ravens,226,90,28,12,218,55,69,18,1095
Packers,208,78,30,18,200,52.5,104,24.4,1063
