Team,FF,FR,FR TD,Rec FUM,Rush FUM
Eagles,22,13,0,6,15
Steelers,22,15,1,4,6
Bills,18,16,1,4,11
Cowboys,18,9,0,6,3
Colts,18,9,1,6,7
Bears,17,13,0,6,5
Cardinals,17,8,0,7,7
Packers,16,14,0,7,6
Giants,16,10,0,5,9
Buccaneers,16,11,1,6,10
Commanders,16,10,0,2,9
Chiefs,15,7,1,4,4
Bengals,14,10,0,2,9
Patriots,14,5,1,2,11
Jets,14,10,0,3,7
Seahawks,14,4,2,1,10
Lions,13,7,0,7,7
49ers,13,6,0,4,8
Falcons,12,6,1,6,9
Ravens,12,5,0,4,5
Browns,12,8,1,1,6
Broncos,12,9,2,4,7
Vikings,12,9,1,2,5
Saints,12,3,0,2,5
Texans,11,9,2,3,8
Titans,10,6,0,3,5
Rams,10,7,1,2,3
Panthers,8,8,0,4,6
Dolphins,8,6,0,1,5
Chargers,8,6,0,1,6
Raiders,6,3,0,3,4
Jaguars,5,3,1,0,3
