Team,INT,INT TD,INT Yds,Lng
Vikings,24,2,140,63T
Texans,19,1,275,68T
Packers,17,1,288,48T
Steelers,17,0,209,49
Bills,16,2,145,31
Lions,16,1,155,47
Colts,16,0,105,20
Bengals,15,2,249,51T
Broncos,15,3,430,100
Chargers,15,1,173,61T
Saints,14,0,169,47
Cowboys,13,1,97,23T
Chiefs,13,0,102,47
Rams,13,2,145,103
Eagles,13,1,166,69T
Seahawks,13,2,268,92
Falcons,12,3,187,55
Ravens,12,2,102,37
Bears,11,1,87,43T
Titans,11,0,86,30
49ers,11,1,167,45T
Raiders,10,1,130,35T
Dolphins,10,0,21,7
Panthers,9,0,96,33
Cardinals,9,0,12,10
Patriots,7,0,49,35
Jets,7,0,18,18
Buccaneers,7,0,28,17
Commanders,7,1,153,67T
Jaguars,6,0,41,22
Giants,5,0,52,26
Browns,4,0,-2,0
