Team,Sck,Comb,Asst,Solo
Broncos,63,1105,426,648
Ravens,54,1029,399,618
Cowboys,52,1068,410,690
Texans,49,989,349,640
Vikings,49,1074,415,625
Chargers,46,1030,380,642
Buccaneers,46,1030,364,648
Packers,45,1059,408,646
Giants,45,1152,502,610
Seahawks,45,1095,434,656
Jets,43,1070,383,665
Commanders,43,1038,414,639
Browns,41,1039,373,636
Eagles,41,980,373,612
Cardinals,41,1128,481,604
Bears,40,1074,412,625
Steelers,40,1038,403,641
Bills,39,1085,405,623
Chiefs,39,999,353,649
Saints,39,1079,389,709
Rams,38,1111,474,586
Raiders,38,1082,442,620
Lions,37,933,317,604
49ers,37,1042,400,635
Bengals,36,1100,441,634
Colts,36,1211,480,665
Dolphins,35,1003,396,588
Jaguars,34,1132,419,697
Panthers,32,1224,531,691
Titans,32,1058,414,634
Falcons,31,1092,415,666
Patriots,28,1118,463,628
