Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Bengals,460,4918,10.7,43,49,12,70,253,55,5
Dolphins,413,4036,9.8,22,37,3,80,221,53.5,4
Seahawks,413,4379,10.6,21,51,4,71T,211,51.1,4
Raiders,410,4117,10,19,50,4,58,209,51,0
Buccaneers,408,4505,11,41,58,5,57,224,54.9,6
Chiefs,404,4046,10,26,41,4,54,219,54.2,2
Lions,399,4718,11.8,39,62,11,82,242,60.6,2
Cowboys,398,4092,10.3,23,47,7,65,192,48.2,7
Browns,395,3879,9.8,19,39,4,89,180,45.6,2
Jets,385,4016,10.4,31,52,7,71,201,52.2,3
Broncos,379,3808,10,30,52,6,93,172,45.4,6
Cardinals,374,3859,10.3,21,43,3,60,191,51.1,5
Rams,367,4096,11.2,22,51,7,69T,192,52.3,1
Giants,366,3521,9.6,15,34,4,59,170,46.4,3
Commanders,365,3932,10.8,29,45,10,86,192,52.6,4
Falcons,364,4283,11.8,21,54,8,60T,198,54.4,3
Vikings,364,4379,12,35,64,10,97,210,57.7,4
Texans,357,3952,11.1,20,45,6,67,197,55.2,4
Bears,353,3552,10.1,20,40,6,47,172,48.7,5
49ers,349,4424,12.7,23,66,11,76,210,60.2,5
Jaguars,343,3717,10.8,19,54,8,85T,174,50.7,5
Patriots,342,3343,9.8,18,34,3,50,167,48.8,4
Panthers,341,3411,10,22,43,3,83,168,49.3,6
Saints,340,3730,11,21,47,8,71,167,49.1,6
Titans,336,3621,10.8,22,43,9,98,164,48.8,3
Chargers,336,3901,11.6,23,54,7,66,176,52.4,4
Bills,329,3938,12,30,56,11,69,181,55,2
Steelers,321,3607,11.2,21,55,8,55,158,49.2,5
Ravens,318,4189,13.2,41,56,14,84,199,62.6,1
Packers,308,3939,12.8,28,59,14,70,171,55.5,2
Eagles,303,3517,11.6,24,49,12,67,168,55.4,2
Colts,289,3599,12.4,20,51,10,69,161,55.7,3
