Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Steelers,41,44,93.2,0_0,9_9,12_12,8_7,14_13,1_0,57,1
Cowboys,40,47,85.1,0_0,4_4,10_8,16_14,13_12,4_2,65,2
Chargers,39,42,92.9,1_1,9_9,9_9,12_11,11_9,0_0,59,0
Dolphins,37,41,90.2,0_0,7_7,13_13,7_5,14_12,0_0,57,0
Texans,36,42,85.7,0_0,10_8,11_11,5_4,16_13,0_0,59,0
Vikings,35,42,83.3,0_0,8_8,10_9,12_9,12_9,0_0,58,0
Raiders,34,40,85,0_0,10_10,11_11,8_6,11_7,0_0,54,0
Cardinals,34,38,89.5,0_0,7_7,12_12,14_10,5_5,0_0,58,1
Commanders,34,42,81,0_0,11_11,8_8,15_13,8_2,0_0,55,1
49ers,33,43,76.7,0_0,12_12,6_6,14_9,11_6,0_0,55,0
Packers,32,38,84.2,0_0,9_9,13_12,13_8,3_3,0_0,55,0
Chiefs,32,37,86.5,1_1,10_9,12_12,7_7,6_3,1_0,53,0
Broncos,31,34,91.2,0_0,2_2,14_13,11_11,6_5,1_0,55,1
Colts,31,37,83.8,0_0,9_9,12_12,7_7,9_3,0_0,56,0
Buccaneers,30,32,93.8,0_0,11_11,7_7,4_4,10_8,0_0,56,0
Falcons,29,41,70.7,0_0,7_7,10_8,12_7,12_7,0_0,58,2
Rams,29,34,85.3,0_0,11_10,10_9,6_4,7_6,0_0,58,0
Eagles,28,36,77.8,0_0,9_9,11_10,9_8,6_1,1_0,50,1
Jaguars,27,29,93.1,0_0,8_8,6_6,9_8,6_5,0_0,59,0
Saints,27,31,87.1,0_0,4_4,11_10,8_7,7_6,1_0,57,1
Lions,26,29,89.7,0_0,3_3,10_10,8_7,7_6,1_0,58,0
Patriots,26,33,78.8,0_0,6_5,11_10,7_5,7_5,2_1,63,1
Seahawks,26,30,86.7,0_0,4_4,6_6,8_7,10_9,2_0,59,1
Bengals,25,33,75.8,0_0,11_11,7_6,7_4,8_4,0_0,59,0
Titans,25,27,92.6,0_0,6_6,5_5,9_8,7_6,0_0,56,0
Bills,24,29,82.8,0_0,7_6,7_7,11_7,3_3,1_1,61,0
Giants,23,28,82.1,0_0,5_5,8_7,12_8,3_3,0_0,53,1
Ravens,22,30,73.3,0_0,4_4,7_7,8_5,11_6,0_0,56,0
Panthers,22,26,84.6,0_0,7_7,9_8,8_6,2_1,0_0,53,0
Bears,21,25,84,0_0,4_4,4_4,8_5,9_8,0_0,54,3
Jets,20,28,71.4,0_0,8_8,8_6,10_5,2_1,0_0,58,1
Browns,18,27,66.7,0_0,4_3,7_6,8_5,8_4,0_0,56,1
