Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
Cowboys,32.1,34,1091,2,29,5,99,0,0,0,1
Lions,31.4,15,471,0,14,1,72,0,0,0,0
Jets,30.3,29,878,1,29,3,99T,0,0,0,1
Texans,30.1,24,722,0,21,4,80,0,0,0,0
Raiders,29.6,23,680,0,21,2,68,0,1,0,0
Colts,29.3,22,644,0,21,3,55,0,0,0,0
Commanders,29.2,37,1082,0,36,2,62,0,1,1,0
Bengals,29,39,1133,1,34,2,100T,0,1,1,0
Dolphins,29,26,755,0,23,2,67,0,0,0,0
49ers,28.5,31,884,0,29,3,60,0,4,1,1
Bears,28.4,27,768,0,24,2,67,0,1,0,0
Cardinals,28.4,25,709,1,22,1,96T,1,1,0,0
Giants,28.3,36,1019,1,34,2,100T,0,3,2,0
Packers,28.2,20,564,0,18,1,43,0,0,1,1
Seahawks,28,38,1065,1,32,1,97T,0,3,1,1
Broncos,28,13,364,0,12,0,38,0,0,0,0
Chargers,27.7,21,581,0,17,2,56,0,1,1,0
Rams,27.4,29,794,0,26,3,43,1,0,0,3
Chiefs,27.1,29,785,0,25,1,56,0,0,1,0
Ravens,27,30,811,0,27,2,59,0,0,1,0
Titans,27,40,1081,0,39,2,54,0,2,0,0
Saints,27,37,1000,0,32,2,42,0,0,2,1
Eagles,26.5,33,875,0,28,1,51,0,1,0,1
Falcons,26.4,30,791,0,29,0,38,0,1,0,1
Buccaneers,26.3,31,816,0,26,2,53,0,0,1,0
Bills,25.9,24,621,0,20,2,53,0,1,0,0
Jaguars,25.7,29,745,0,26,2,41,0,2,1,1
Patriots,25.5,26,662,0,19,2,46,0,0,0,0
Panthers,25.2,42,1060,0,34,1,43,0,1,0,0
Browns,24.8,41,1018,0,34,3,56,1,0,1,0
Vikings,24.4,14,341,0,11,0,35,0,0,1,0
Steelers,23,25,575,0,16,0,35,0,0,2,0
