Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Lions,110,7053,85,77.3,24,31.1,2,0,0,0
Buccaneers,106,6710,80,75.5,23,27.2,2,1,1,0
Ravens,105,6732,76,72.4,28,28.4,1,0,0,0
Bills,103,6567,75,72.8,25,30.8,1,0,2,1
Commanders,102,6215,25,24.5,73,26.5,4,0,1,2
Bengals,98,6126,74,75.5,20,24.5,3,0,1,0
Vikings,98,6268,81,82.6,14,28.5,1,0,2,0
Eagles,97,6226,66,68,29,28.6,0,0,2,0
Broncos,95,6032,70,73.7,22,27.4,2,0,2,0
Packers,95,6003,44,46.3,49,27,2,0,1,0
Chargers,94,5983,65,69.2,26,28.6,1,0,2,0
Falcons,90,5797,62,68.9,27,27.3,0,0,1,0
Steelers,90,5743,49,54.4,40,28.9,0,0,1,0
49ers,89,5483,52,58.4,31,28.6,3,0,4,1
Cowboys,88,5383,43,48.9,39,27.1,3,1,3,0
Texans,88,5481,42,47.7,43,26.2,2,0,3,0
Colts,88,5615,73,83,13,34.8,2,0,0,1
Chiefs,87,5589,60,69,26,28.5,0,0,1,0
Dolphins,87,5489,66,75.9,17,25.2,3,0,2,0
Cardinals,87,5640,71,81.6,15,31.4,0,0,1,0
Rams,86,5483,71,82.6,13,29.3,2,0,0,0
Seahawks,86,5524,46,53.5,40,27.8,0,0,0,1
Raiders,80,4861,51,63.8,24,24.8,5,0,1,0
Saints,79,4978,21,26.6,57,26,1,0,0,0
Jaguars,77,4882,65,84.4,10,27.4,1,0,0,0
Panthers,76,4690,32,42.1,40,24.2,1,0,4,0
Jets,76,4836,44,57.9,31,26.1,0,0,1,0
Bears,72,4479,38,52.8,31,27.5,3,1,0,0
Titans,70,4390,39,55.7,28,32.1,2,0,1,0
Patriots,70,4362,46,65.7,21,25.2,2,0,1,0
Giants,70,4493,53,75.7,16,28.9,0,0,1,0
Browns,64,4041,38,59.4,25,28,1,0,0,1
